policy,n_users,seed,sum_rate,runtime_ms,is_feasible,binary_objective,num_evaluated_assignments,power_optimizer_success,power_optimizer_iterations,rate_before_refinement,rate_after_refinement,best_available_rate,quality_pct_best_available,exact_rate,quality_pct_exact,exact_gap_pct
QIO-Default,4,100,3.0939785083205025,33.61868858337402,True,-784.85998216727,,True,3,2.535166198710282,3.0939785083205025,13.11394789229595,23.593036465686446,13.11394789229595,23.593036465686446,76.40696353431356
QIO-HighQuality,4,100,3.0939785083205025,286.1154079437256,True,-784.85998216727,,True,3,2.535166198710282,3.0939785083205025,13.11394789229595,23.593036465686446,13.11394789229595,23.593036465686446,76.40696353431356
LocalSearch,4,100,3.0939785083205025,13.945579528808594,True,-784.85998216727,,True,3,2.535166198710282,3.0939785083205025,13.11394789229595,23.593036465686446,13.11394789229595,23.593036465686446,76.40696353431356
ExactSmall,4,100,13.11394789229595,1127.9022693634033,True,7794.680327340528,256.0,True,2,12.39776793820247,13.11394789229595,13.11394789229595,100.0,13.11394789229595,100.0,0.0
Greedy,4,110,1.6598061364483954,1.867055892944336,True,,,True,1,1.6598061364483954,1.6598061364483954,12.931875109071983,12.83499973862264,12.931875109071983,12.83499973862264,87.16500026137736
QIO-Default,4,110,5.183012918899437,34.873247146606445,True,-775.9415724648293,,True,4,3.8478470604393467,5.183012918899437,12.931875109071983,40.07936107628695,12.931875109071983,40.07936107628695,59.92063892371305
QIO-HighQuality,4,110,5.183012918899437,292.3626899719238,True,-775.9415724648293,,True,4,3.8478470604393467,5.183012918899437,12.931875109071983,40.07936107628695,12.931875109071983,40.07936107628695,59.92063892371305
LocalSearch,4,110,5.183012918899437,14.490365982055664,True,-775.9415724648293,,True,4,3.8478470604393467,5.183012918899437,12.931875109071983,40.07936107628695,12.931875109071983,40.07936107628695,59.92063892371305
ExactSmall,4,110,12.931875109071983,1177.0219802856445,True,7046.654265153502,256.0,True,2,11.770320042992063,12.931875109071983,12.931875109071983,100.00000000000001,12.931875109071983,100.00000000000001,0.0
Greedy,4,120,1.659780959493173,1.7764568328857422,True,,,True,1,1.659780959493173,1.659780959493173,12.61099182567268,13.161383199966025,12.61099182567268,13.161383199966025,86.83861680003398
QIO-Default,4,120,3.6172384976282697,35.19892692565918,True,-763.6815291173994,,True,2,2.897098945314279,3.6172384976282697,12.61099182567268,28.683219746955334,12.61099182567268,28.683219746955334,71.31678025304466
QIO-HighQuality,4,120,3.6172384976282697,303.0674457550049,True,-763.6815291173994,,True,2,2.897098945314279,3.6172384976282697,12.61099182567268,28.683219746955334,12.61099182567268,28.683219746955334,71.31678025304466
LocalSearch,4,120,3.6172384976282697,11.962652206420898,True,-763.6815291173994,,True,2,2.897098945314279,3.6172384976282697,12.61099182567268,28.683219746955334,12.61099182567268,28.683219746955334,71.31678025304466
ExactSmall,4,120,12.61099182567268,1213.982105255127,True,6278.226223370433,256.0,True,2,10.970953786827303,12.61099182567268,12.61099182567268,100.0,12.61099182567268,100.0,0.0
Greedy,4,130,1.6598823669579565,1.7955303192138672,True,,,True,1,1.6598823669579565,1.6598823669579565,12.122985840742926,13.692025947761355,12.122985840742926,13.692025947761355,86.30797405223863
QIO-Default,4,130,3.2329491727347675,37.43577003479004,True,-761.3547950586052,,True,4,2.855596904518347,3.2329491727347675,12.122985840742926,26.667928307475815,12.122985840742926,26.667928307475815,73.33207169252418
QIO-HighQuality,4,130,3.2329491727347675,299.5188236236572,True,-761.3547950586052,,True,4,2.855596904518347,3.2329491727347675,12.122985840742926,26.667928307475815,12.122985840742926,26.667928307475815,73.33207169252418
LocalSearch,4,130,3.2329491727347675,13.912439346313477,True,-761.3547950586052,,True,4,2.855596904518347,3.2329491727347675,12.122985840742926,26.667928307475815,12.122985840742926,26.667928307475815,73.33207169252418
ExactSmall,4,130,12.122985840742926,1100.6309986114502,True,9184.043034806571,256.0,True,2,10.075930711116795,12.122985840742926,12.122985840742926,100.0,12.122985840742926,100.0,0.0
Greedy,4,140,1.6598658045638781,2.0110607147216797,True,,,True,1,1.6598658045638781,1.6598658045638781,12.49684977287945,13.282273810845544,12.49684977287945,13.282273810845544,86.71772618915445
QIO-Default,4,140,4.882850384839683,41.794538497924805,True,-746.7520131775195,,True,4,2.7371825855923397,4.882850384839683,12.49684977287945,39.07265009647792,12.49684977287945,39.07265009647792,60.927349903522085
QIO-HighQuality,4,140,4.882850384839683,305.57918548583984,True,-746.7520131775195,,True,4,2.7371825855923397,4.882850384839683,12.49684977287945,39.07265009647792,12.49684977287945,39.07265009647792,60.927349903522085
LocalSearch,4,140,4.882850384839683,13.466358184814453,True,-746.7520131775195,,True,4,2.7371825855923397,4.882850384839683,12.49684977287945,39.07265009647792,12.49684977287945,39.07265009647792,60.927349903522085
ExactSmall,4,140,12.49684977287945,1158.1850051879883,True,9734.040218057215,256.0,True,2,11.131530391766972,12.49684977287945,12.49684977287945,100.0,12.49684977287945,100.0,0.0
Greedy,4,150,6.6545572982479975,7.741689682006836,True,,,True,6,4.944081515554858,6.6545572982479975,13.76634421847905,48.33932082938439,13.76634421847905,48.33932082938439,51.6606791706156
QIO-Default,4,150,2.3792920968879674,40.28153419494629,True,-773.9246824337647,,True,8,1.7277283304396196,2.3792920968879674,13.76634421847905,17.283398258298377,13.76634421847905,17.283398258298377,82.71660174170162
QIO-HighQuality,4,150,2.3792920968879674,290.15445709228516,True,-773.9246824337647,,True,8,1.7277283304396196,2.3792920968879674,13.76634421847905,17.283398258298377,13.76634421847905,17.283398258298377,82.71660174170162
LocalSearch,4,150,2.6130941917559696,13.181686401367188,True,-774.0108221295468,,True,4,1.804858070599444,2.6130941917559696,13.76634421847905,18.981758339649254,13.76634421847905,18.981758339649254,81.01824166035075
